file,label,label_idx
data\processed\A+\cluster_0_1001.npy,A+,0
data\processed\A+\cluster_0_1005.npy,A+,0
data\processed\A+\cluster_0_1009.npy,A+,0
data\processed\A+\cluster_0_1026.npy,A+,0
data\processed\A+\cluster_0_1029.npy,A+,0
data\processed\A+\cluster_0_1036.npy,A+,0
data\processed\A+\cluster_0_1041.npy,A+,0
data\processed\A+\cluster_0_1045.npy,A+,0
data\processed\A+\cluster_0_1063.npy,A+,0
data\processed\A+\cluster_0_1075.npy,A+,0
data\processed\A+\cluster_0_1082.npy,A+,0
data\processed\A+\cluster_0_1087.npy,A+,0
data\processed\A+\cluster_0_1089.npy,A+,0
data\processed\A+\cluster_0_1118.npy,A+,0
data\processed\A+\cluster_0_1123.npy,A+,0
data\processed\A+\cluster_0_1126.npy,A+,0
data\processed\A+\cluster_0_1145.npy,A+,0
data\processed\A+\cluster_0_1153.npy,A+,0
data\processed\A+\cluster_0_116.npy,A+,0
data\processed\A+\cluster_0_1181.npy,A+,0
data\processed\A+\cluster_0_1183.npy,A+,0
data\processed\A+\cluster_0_1196.npy,A+,0
data\processed\A+\cluster_0_1210.npy,A+,0
data\processed\A+\cluster_0_1214.npy,A+,0
data\processed\A+\cluster_0_1217.npy,A+,0
data\processed\A+\cluster_0_1236.npy,A+,0
data\processed\A+\cluster_0_1247.npy,A+,0
data\processed\A+\cluster_0_1258.npy,A+,0
data\processed\A+\cluster_0_127.npy,A+,0
data\processed\A+\cluster_0_1293.npy,A+,0
data\processed\A+\cluster_0_1303.npy,A+,0
data\processed\A+\cluster_0_1309.npy,A+,0
data\processed\A+\cluster_0_1328.npy,A+,0
data\processed\A+\cluster_0_1347.npy,A+,0
data\processed\A+\cluster_0_1361.npy,A+,0
data\processed\A+\cluster_0_1367.npy,A+,0
data\processed\A+\cluster_0_1382.npy,A+,0
data\processed\A+\cluster_0_1388.npy,A+,0
data\processed\A+\cluster_0_1389.npy,A+,0
data\processed\A+\cluster_0_1399.npy,A+,0
data\processed\A+\cluster_0_1434.npy,A+,0
data\processed\A+\cluster_0_1438.npy,A+,0
data\processed\A+\cluster_0_1445.npy,A+,0
data\processed\A+\cluster_0_1471.npy,A+,0
data\processed\A+\cluster_0_1473.npy,A+,0
data\processed\A+\cluster_0_149.npy,A+,0
data\processed\A+\cluster_0_1505.npy,A+,0
data\processed\A+\cluster_0_1514.npy,A+,0
data\processed\A+\cluster_0_1531.npy,A+,0
data\processed\A+\cluster_0_1542.npy,A+,0
data\processed\A+\cluster_0_1548.npy,A+,0
data\processed\A+\cluster_0_1551.npy,A+,0
data\processed\A+\cluster_0_1554.npy,A+,0
data\processed\A+\cluster_0_1560.npy,A+,0
data\processed\A+\cluster_0_1578.npy,A+,0
data\processed\A+\cluster_0_16.npy,A+,0
data\processed\A+\cluster_0_1608.npy,A+,0
data\processed\A+\cluster_0_162.npy,A+,0
data\processed\A+\cluster_0_1668.npy,A+,0
data\processed\A+\cluster_0_1669.npy,A+,0
data\processed\A+\cluster_0_167.npy,A+,0
data\processed\A+\cluster_0_1687.npy,A+,0
data\processed\A+\cluster_0_1688.npy,A+,0
data\processed\A+\cluster_0_1691.npy,A+,0
data\processed\A+\cluster_0_1696.npy,A+,0
data\processed\A+\cluster_0_1699.npy,A+,0
data\processed\A+\cluster_0_1702.npy,A+,0
data\processed\A+\cluster_0_1715.npy,A+,0
data\processed\A+\cluster_0_1720.npy,A+,0
data\processed\A+\cluster_0_1730.npy,A+,0
data\processed\A+\cluster_0_1732.npy,A+,0
data\processed\A+\cluster_0_1745.npy,A+,0
data\processed\A+\cluster_0_1761.npy,A+,0
data\processed\A+\cluster_0_1766.npy,A+,0
data\processed\A+\cluster_0_1774.npy,A+,0
data\processed\A+\cluster_0_1800.npy,A+,0
data\processed\A+\cluster_0_1803.npy,A+,0
data\processed\A+\cluster_0_1815.npy,A+,0
data\processed\A+\cluster_0_1816.npy,A+,0
data\processed\A+\cluster_0_1825.npy,A+,0
data\processed\A+\cluster_0_1834.npy,A+,0
data\processed\A+\cluster_0_1835.npy,A+,0
data\processed\A+\cluster_0_1843.npy,A+,0
data\processed\A+\cluster_0_1848.npy,A+,0
data\processed\A+\cluster_0_185.npy,A+,0
data\processed\A+\cluster_0_1851.npy,A+,0
data\processed\A+\cluster_0_1859.npy,A+,0
data\processed\A+\cluster_0_1862.npy,A+,0
data\processed\A+\cluster_0_187.npy,A+,0
data\processed\A+\cluster_0_1870.npy,A+,0
data\processed\A+\cluster_0_1874.npy,A+,0
data\processed\A+\cluster_0_1876.npy,A+,0
data\processed\A+\cluster_0_1879.npy,A+,0
data\processed\A+\cluster_0_1880.npy,A+,0
data\processed\A+\cluster_0_1883.npy,A+,0
data\processed\A+\cluster_0_1884.npy,A+,0
data\processed\A+\cluster_0_1899.npy,A+,0
data\processed\A+\cluster_0_1955.npy,A+,0
data\processed\A+\cluster_0_1956.npy,A+,0
